Arabic,German
ٱللَّه,Gott
فِي,In
إِنّ,Das
عَلَىٰ,An
ٱلَّذِي,Das ist
لَا,NEIN
شَيْطَٰن,Shattin
صَفْوَة,Elite
صَيْحَة,schreien
ضُرَّاء,Strafverfolgung
عَذَاب,quälen
عَذْب,Dulcet
عَلِم,Wissenschaft
عُذْر,eine Entschuldigung
غُرُور,Ruhm
فُسُوق,Film
قَبْضَة,Griff
قُرْءَان,Zwei Leser
قِطَآنِىّ,Qutani
كَافِر,Kafir
كُفْر,Kafr
لُعْبَة,Spiel
مَرَض,Erkrankung
مُجْرِم,kriminell
مُدْهِش,überraschend
مُزَكِّىٰت,Mazakt
مُستَضِعَف,Strohmann
مَسَّآء,Abend
مَصَارِع,Ringer
نَحْل,Bienen
نَسَآء,Frauen
نُجُوم,Sterne
نُصْح,Wir raten
نُفُوس,Gesegnet
هَيْهَات,Hahtat
هُمَزَة,Menschlich
وَعْد,ein Versprechen
يَد,Hand
يُبَصِّرُ,Ich verstehe
يَوْمَ,Tag